;,,,";무기/장비=""Equipment"",클래스(캐릭터)=""Class""",";권총=1,샷건=2,기관단총=3,소총=4,기관총=5장비=6,클래스=7,기능성(passive)=8,작동성(active)=9",,";UseType, 0= 간접사용, 1= 자동사용, 2= 수동사용, 3= 수동사용(int), 4= 수동사용(string), 5= 팝업, 6= 사용 불가(버튼 없음, ClassName 값은 Item 으로 설정 필요)",";공용=0,테러리스트1,대테러리스트2",,,,,,,,,,,,,,,,,,,,,";0=개인,1=클랜;공백=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
;ID,Name,recourcename,ClassName,Category,InGameID,UseType,Team,Level,ExpPointModCategory,ExpModPriority,ExpModMin,ExpModMax,PCBangExpModMin,PCBangExpModMax,PointModPriority,PointModMin,PointModMax,PCBangPointModMin,PCBangPointModMax,InventoryType,Damage,HitRate,Reaction,FiringSpeed,Weight,SkinBase,Period,BuyerType,ItemBoxName,TeamBonusExpOther,TeamBonusExpSelf,TeamBonusPointOther,TeamBonusPointSelf,rewardID,InGameItem,mdl,skin,DisReward1,DisReward2,DisReward3,EnhWeapon,ZombieSkin,TradeNum,TradeDay,CanExtend,SortingIndex,ItemGrade,"ItemGradeForMode(노말, 좀비, 시나리오)",zombie_damage,scen_damage,knockback,delay,ammo,WeaponPart,lockedbox key,1 = 백과사전에서는 노출 되지만 수집현황(무기/클래스) 제외 / 2 =백과사전과 수집현황에서 모두 제외
1,.40 Dual Elites,Elites,Equipment,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19,63,70,86,85,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,7,1,"1,0,0",50,50,8,26,1,3,,
2,228 Compact,p228,Equipment,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,65,70,88,85,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,7,1,"1,0,0",37,37,8,26,1,3,,
3,9X19mm Sidearm,Glock18,Equipment,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"13,9",67,70,86,85,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,7,1,"1,1,0","23, 16","23, 16",8,26,1,3,,
4,Night Hawk .50C,deserteagle,Equipment,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,56,70,86,85,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,7,1,"4,1,0",106,106,13,50,1,3,,
5,ES Five-Seven,fiveseven,Equipment,1,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,15,75,70,86,85,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,7,1,"1,0,0",26,26,8,26,1,3,,
6,K&M .45 Tactical,usp45,Equipment,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"17,15",72,70,88,85,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,7,1,"1,0,0","25, 24","25, 24",8,26,1,3,,
7,Leone 12 Gauge Super,m3,Equipment,2,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,100,48,54,76,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,2,1,"0,1,0",95,95,16,80,1,3,,
8,Leone YG1265 Auto Shotgun,xm1014,Equipment,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,100,58,83,81,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,2,1,"1,2,0",174,174,13,71,1,3,,
9,Schmidt Machine Pistol,tmp,Equipment,3,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,10,75,83,92,85,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,1,1,"0,0,0",19,19,13,38,1,3,,
10,Ingram MAC-10,MAC10,Equipment,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14,74,83,92,85,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,1,1,"0,0,0",20,20,13,38,1,3,,
11,ES C90,p90,Equipment,3,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,68,83,92,83,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,1,1,"0,0,0",27,27,13,38,1,3,,
12,K&M Sub-Machine Gun,MP5,Equipment,3,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,75,92,92,85,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,1,1,"2,0,0",106,106,13,38,1,3,,
13,K&M UMP45,ump45,Equipment,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,73,91,90,85,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,1,1,"1,0,1",27,27,13,38,1,3,,
14,Magnum Sniper Rifle,awp,Equipment,4,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,112,100,70,26,67,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,4,1,"4,1,0",536,1073,27,80,1,3,,0
15,Maverick M4A1 Carbine,m4a1,Equipment,4,22,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,"22,23",90,82,91,76,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,3,1,"3,0,0","37, 38","50, 50",13,50,1,3,,
16,Bullpup,aug,Equipment,4,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,22,90,82,91,81,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,3,1,"1,0,0",32,32,13,50,1,3,,
17,Schmidt Scout,Scout,Equipment,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,88,70,48,90,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,4,1,"1,0,0",94,94,21,80,1,3,,
18,Krieg 550 Commando,sg550,Equipment,4,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,51,100,76,48,67,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,4,1,"4,1,0",51,51,13,61,1,3,,
19,Krieg 552,sg552,Equipment,4,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23,90,82,"91,89","78,62",,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,3,1,"1,0,0",34,34,13,50,1,3,,
20,Clarion 5.56,famas,Equipment,4,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,"21,24",90,82,91,81,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,3,1,"1,0,0","32, 37","32, 37",13,50,1,3,,
21,CV-47,AK47,Equipment,4,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,28,83,79,91,72,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,3,1,"3,0,0",40,56,13,50,1,3,,
22,D3/AU-1 Semi-Auto Sniper Rifle,G3SG1,Equipment,4,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,66,55,73,83,"67,42",,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,4,1,"4,1,0",67,67,13,61,1,3,,
23,IDF Defender,Galil,Equipment,4,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23,77,82,91,81,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,3,1,"1,0,0",33,33,13,50,1,3,,
24,ES M249 Para,m249,Equipment,5,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,79,79,90,71,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,5,1,"0,1,0",69,60,13,50,1,3,,
25,Night Vision Goggles ,nightvision,Equipment,6,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,9,1,,,,,,1,3,,
26,Smoke Grenade ,SmokeGrenade,Equipment,6,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,9,1,,,,,,1,9,,
27,Kevlar Vest ,Kevlar,Equipment,6,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,9,1,,,,,,1,3,,
28,Kevlar Vest & Helmet ,Kevlar_Helmet,Equipment,6,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,9,1,,,,,,1,3,,
29,Defuse Kit ,defuser,Equipment,6,2005,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,9,1,,,,,,1,3,,
30,Flashbang ,Flashbang,Equipment,6,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,9,1,,,,,,1,9,,
31,HE Grenade ,HEGrenade,Equipment,6,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,9,1,,,,,,1,9,,
32,QBB-95,QBB95,Equipment,5,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,78,76,90,78,,1,,,0,0,0,0,0,1,,,240,9260,9280,0,0,0,0,676,5,1,"0,1,0",32,32,13,50,1,3,,
33,FN SCAR,SCAR,Equipment,4,31,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,"22,30","89,85","81,80","91,90","76,69",,1,,,0,0,0,0,0,1,,,240,9260,9280,0,0,0,0,676,3,1,"2,0,0","31, 41","31, 41","13, 13","50, 61",1,3,,
34,XM-8,XM8,Equipment,4,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"32,36","83,76",81,"91,77","72,67",,1,,,0,0,0,0,0,1,,,240,9260,9280,0,0,0,0,676,3,1,"2,0,0","48, 48","48, 48","13, 13","50, 61",1,3,,
35,VSK-94 Sniper Rifle,VSK94,Equipment,4,40,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,21,89,79,90,85,,1,,,0,0,0,0,0,1,,,240,9260,9280,0,0,0,0,676,4,1,"0,0,0",39,39,13,61,1,3,,
36,K1A Submachinegun,K1A,Equipment,3,38,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,20,79,87,91,76,,1,,,0,0,0,0,0,1,,,240,9260,9280,0,0,0,0,676,1,1,"1,0,0",31,31,13,38,1,3,,
37,MP7A1 Submachinegun,MP7A1,Equipment,3,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"15,15","71,90","91,88","92,87","88,85",,1,,,0,0,0,0,0,1,,,240,9260,9280,0,0,0,0,676,1,1,"2,0,0","19, 26","19, 26",13,38,1,3,,
38,USAS-12 Automatic Shotgun,USAS12,Equipment,2,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,60,100,58,81,58,,1,,,0,0,0,0,0,1,,,240,9260,9280,0,0,0,0,676,2,1,"1,1,0",69,69,13,71,1,3,,
39,Dragunov SVD,svd,Equipment,4,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,99,88,42,67,76,,1,,,0,0,0,0,0,1,,,240,9260,9280,0,0,0,0,676,4,1,"1,1,0",99,99,13,71,1,3,,
40,Guerilla,guerilla,Class,7,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,21,21,21,21,21,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1000,1,,,,,,1,0,,
41,Terror,terror,Class,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,21,21,21,21,21,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1000,1,,,,,,1,0,,
42,Leet,leet,Class,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,21,21,21,21,21,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1000,1,,,,,,1,0,,
