Id,NAME,CATEGORY,ICON,DETAIL ICON,BLOCK COST,"SIGNAL(0=없음,1=신호발신,2=신호수신,3=신호송수신)","ATTRIBUTE(0=없음,1=조명,2=액체,3=몬스터,4=아이템,5=캐릭터,6=논리 회로,7=특수효과, 8=단,9=경사,10=역경사)",THEME,HELP QUERY,"TAG(0=NONE, 1=NEW, 2=UPDATE)",테마 코멘트,국가(제외) 코멘트,국가(변경) 코멘트
99,COLORBOX_RED_01,0,voxel/icon/normal/colorbox_red_01.tga,,0,0,0,0,,0,,,
100,COLORBOX_RED_02,0,voxel/icon/normal/colorbox_red_02.tga,,0,0,0,0,,0,,,
101,COLORBOX_RED_03,0,voxel/icon/normal/colorbox_red_03.tga,,0,0,0,0,,0,,,
102,COLORBOX_RED_04,0,voxel/icon/normal/colorbox_red_04.tga,,0,0,0,0,,0,,,
103,COLORBOX_RED_05,0,voxel/icon/normal/colorbox_red_05.tga,,0,0,0,0,,0,,,
104,COLORBOX_ORANGE_01,0,voxel/icon/normal/colorbox_orange_01.tga,,0,0,0,0,,0,,,
105,COLORBOX_ORANGE_02,0,voxel/icon/normal/colorbox_orange_02.tga,,0,0,0,0,,0,,,
106,COLORBOX_ORANGE_03,0,voxel/icon/normal/colorbox_orange_03.tga,,0,0,0,0,,0,,,
107,COLORBOX_ORANGE_04,0,voxel/icon/normal/colorbox_orange_04.tga,,0,0,0,0,,0,,,
108,COLORBOX_ORANGE_05,0,voxel/icon/normal/colorbox_orange_05.tga,,0,0,0,0,,0,,,
109,COLORBOX_YELLOW_01,0,voxel/icon/normal/colorbox_yellow_01.tga,,0,0,0,0,,0,,,
110,COLORBOX_YELLOW_02,0,voxel/icon/normal/colorbox_yellow_02.tga,,0,0,0,0,,0,,,
111,COLORBOX_YELLOW_03,0,voxel/icon/normal/colorbox_yellow_03.tga,,0,0,0,0,,0,,,
112,COLORBOX_YELLOW_04,0,voxel/icon/normal/colorbox_yellow_04.tga,,0,0,0,0,,0,,,
113,COLORBOX_YELLOW_05,0,voxel/icon/normal/colorbox_yellow_05.tga,,0,0,0,0,,0,,,
114,COLORBOX_GREEN_01,0,voxel/icon/normal/colorbox_green_01.tga,,0,0,0,0,,0,,,
115,COLORBOX_GREEN_02,0,voxel/icon/normal/colorbox_green_02.tga,,0,0,0,0,,0,,,
116,COLORBOX_GREEN_03,0,voxel/icon/normal/colorbox_green_03.tga,,0,0,0,0,,0,,,
117,COLORBOX_GREEN_04,0,voxel/icon/normal/colorbox_green_04.tga,,0,0,0,0,,0,,,
118,COLORBOX_GREEN_05,0,voxel/icon/normal/colorbox_green_05.tga,,0,0,0,0,,0,,,
119,COLORBOX_BLUE_01,0,voxel/icon/normal/colorbox_blue_01.tga,,0,0,0,0,,0,,,
120,COLORBOX_BLUE_02,0,voxel/icon/normal/colorbox_blue_02.tga,,0,0,0,0,,0,,,
121,COLORBOX_BLUE_03,0,voxel/icon/normal/colorbox_blue_03.tga,,0,0,0,0,,0,,,
122,COLORBOX_BLUE_04,0,voxel/icon/normal/colorbox_blue_04.tga,,0,0,0,0,,0,,,
123,COLORBOX_BLUE_05,0,voxel/icon/normal/colorbox_blue_05.tga,,0,0,0,0,,0,,,
124,COLORBOX_VIOLET_01,0,voxel/icon/normal/colorbox_violet_01.tga,,0,0,0,0,,0,,,
125,COLORBOX_VIOLET_02,0,voxel/icon/normal/colorbox_violet_02.tga,,0,0,0,0,,0,,,
126,COLORBOX_VIOLET_03,0,voxel/icon/normal/colorbox_violet_03.tga,,0,0,0,0,,0,,,
127,COLORBOX_VIOLET_04,0,voxel/icon/normal/colorbox_violet_04.tga,,0,0,0,0,,0,,,
128,COLORBOX_VIOLET_05,0,voxel/icon/normal/colorbox_violet_05.tga,,0,0,0,0,,0,,,
129,COLORBOX_PINK_01,0,voxel/icon/normal/colorbox_pink_01.tga,,0,0,0,0,,0,,,
130,COLORBOX_PINK_02,0,voxel/icon/normal/colorbox_pink_02.tga,,0,0,0,0,,0,,,
131,COLORBOX_PINK_03,0,voxel/icon/normal/colorbox_pink_03.tga,,0,0,0,0,,0,,,
